"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"1667361013558888_2356924594602523","324","None","0","1667361013558888_2356924594602523","seed","","","None","None","","","","",""
"1667361013558888_2356924594602523/1667361013558888_2356924594602523","1869","324","1","1667361013558888_2356924594602523","data","data.*","fetched (200)","2021-10-08 09:30:38.425311","Facebook:/<post-id>/comments","Bravu Zyon   ♥️","2020-06-20T18:57:57+0000","0","0",""
"1667361013558888_2356924594602523/1667361013558888_2356924594602523","1870","324","1","1667361013558888_2356924594602523","data","data.*","fetched (200)","2021-10-08 09:30:38.425311","Facebook:/<post-id>/comments","bravu sabih","2020-06-20T19:07:00+0000","0","0",""
"1667361013558888_2356924594602523/1667361013558888_2356924594602523","1871","324","1","1667361013558888_2356924594602523","offcut","","fetched (200)","2021-10-08 09:30:38.425311","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2356922787936037","325","None","0","1667361013558888_2356922787936037","seed","","","None","None","","","","",""
"1667361013558888_2356922787936037/1667361013558888_2356922787936037","1872","325","1","1667361013558888_2356922787936037","data","data.*","fetched (200)","2021-10-08 09:30:38.750868","Facebook:/<post-id>/comments","My boy","2020-06-20T18:50:23+0000","0","0",""
"1667361013558888_2356922787936037/1667361013558888_2356922787936037","1873","325","1","1667361013558888_2356922787936037","offcut","","fetched (200)","2021-10-08 09:30:38.750868","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2354376131524036","326","None","0","1667361013558888_2354376131524036","seed","","","None","None","","","","",""
"1667361013558888_2354376131524036/1667361013558888_2354376131524036","1874","326","1","1667361013558888_2354376131524036","empty","","fetched (200)","2021-10-08 09:30:39.157460","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2354257488202567","327","None","0","1667361013558888_2354257488202567","seed","","","None","None","","","","",""
"1667361013558888_2354257488202567/1667361013558888_2354257488202567","1875","327","1","1667361013558888_2354257488202567","empty","","fetched (200)","2021-10-08 09:30:39.454499","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2354208541540795","328","None","0","1667361013558888_2354208541540795","seed","","","None","None","","","","",""
"1667361013558888_2354208541540795/1667361013558888_2354208541540795","1876","328","1","1667361013558888_2354208541540795","data","data.*","fetched (200)","2021-10-08 09:30:39.879467","Facebook:/<post-id>/comments","Rachel Brignoli","2020-06-17T09:41:47+0000","0","0",""
"1667361013558888_2354208541540795/1667361013558888_2354208541540795","1877","328","1","1667361013558888_2354208541540795","data","data.*","fetched (200)","2021-10-08 09:30:39.879467","Facebook:/<post-id>/comments","Claire Bowell","2020-06-17T18:38:10+0000","0","0",""
"1667361013558888_2354208541540795/1667361013558888_2354208541540795","1878","328","1","1667361013558888_2354208541540795","offcut","","fetched (200)","2021-10-08 09:30:39.879467","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2354205438207772","329","None","0","1667361013558888_2354205438207772","seed","","","None","None","","","","",""
"1667361013558888_2354205438207772/1667361013558888_2354205438207772","1879","329","1","1667361013558888_2354205438207772","data","data.*","fetched (200)","2021-10-08 09:30:40.308057","Facebook:/<post-id>/comments","Kif nista namel bix naplika pls tiji qat ma kinu imoru bil van","2020-06-17T13:01:25+0000","0","2",""
"1667361013558888_2354205438207772/1667361013558888_2354205438207772","1880","329","1","1667361013558888_2354205438207772","data","data.*","fetched (200)","2021-10-08 09:30:40.308057","Facebook:/<post-id>/comments","Bernice Bellotti hemm post ohra ghal min ha japplika l-ewwel darba","2020-06-17T13:17:40+0000","0","0",""
"1667361013558888_2354205438207772/1667361013558888_2354205438207772","1881","329","1","1667361013558888_2354205438207772","data","data.*","fetched (200)","2021-10-08 09:30:40.308057","Facebook:/<post-id>/comments","SMC Cospicua Primary  thanks","2020-06-17T13:18:01+0000","0","0",""
"1667361013558888_2354205438207772/1667361013558888_2354205438207772","1882","329","1","1667361013558888_2354205438207772","offcut","","fetched (200)","2021-10-08 09:30:40.308057","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2353320714962911","330","None","0","1667361013558888_2353320714962911","seed","","","None","None","","","","",""
"1667361013558888_2353320714962911/1667361013558888_2353320714962911","1883","330","1","1667361013558888_2353320714962911","empty","","fetched (200)","2021-10-08 09:30:40.727881","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2352651671696482","331","None","0","1667361013558888_2352651671696482","seed","","","None","None","","","","",""
"1667361013558888_2352651671696482/1667361013558888_2352651671696482","1884","331","1","1667361013558888_2352651671696482","empty","","fetched (200)","2021-10-08 09:30:41.031935","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2352511405043842","332","None","0","1667361013558888_2352511405043842","seed","","","None","None","","","","",""
"1667361013558888_2352511405043842/1667361013558888_2352511405043842","1885","332","1","1667361013558888_2352511405043842","empty","","fetched (200)","2021-10-08 09:30:41.341371","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2352510688377247","333","None","0","1667361013558888_2352510688377247","seed","","","None","None","","","","",""
"1667361013558888_2352510688377247/1667361013558888_2352510688377247","1886","333","1","1667361013558888_2352510688377247","empty","","fetched (200)","2021-10-08 09:30:41.656811","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2352510138377302","334","None","0","1667361013558888_2352510138377302","seed","","","None","None","","","","",""
"1667361013558888_2352510138377302/1667361013558888_2352510138377302","1887","334","1","1667361013558888_2352510138377302","empty","","fetched (200)","2021-10-08 09:30:41.941461","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2349551728673143","335","None","0","1667361013558888_2349551728673143","seed","","","None","None","","","","",""
"1667361013558888_2349551728673143/1667361013558888_2349551728673143","1888","335","1","1667361013558888_2349551728673143","data","data.*","fetched (200)","2021-10-08 09:30:42.393670","Facebook:/<post-id>/comments","Bravu  Zyon  issa  la  jsiru  gibli  wahda","2020-06-11T15:08:48+0000","0","0",""
"1667361013558888_2349551728673143/1667361013558888_2349551728673143","1889","335","1","1667361013558888_2349551728673143","offcut","","fetched (200)","2021-10-08 09:30:42.393670","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2349550195339963","336","None","0","1667361013558888_2349550195339963","seed","","","None","None","","","","",""
"1667361013558888_2349550195339963/1667361013558888_2349550195339963","1890","336","1","1667361013558888_2349550195339963","data","data.*","fetched (200)","2021-10-08 09:30:42.820038","Facebook:/<post-id>/comments","Bravi  hafna","2020-06-11T15:09:17+0000","0","0",""
"1667361013558888_2349550195339963/1667361013558888_2349550195339963","1891","336","1","1667361013558888_2349550195339963","data","data.*","fetched (200)","2021-10-08 09:30:42.820038","Facebook:/<post-id>/comments","Bravi","2020-06-11T15:20:23+0000","0","0",""
"1667361013558888_2349550195339963/1667361013558888_2349550195339963","1892","336","1","1667361013558888_2349550195339963","offcut","","fetched (200)","2021-10-08 09:30:42.820038","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2349548835340099","337","None","0","1667361013558888_2349548835340099","seed","","","None","None","","","","",""
"1667361013558888_2349548835340099/1667361013558888_2349548835340099","1893","337","1","1667361013558888_2349548835340099","empty","","fetched (200)","2021-10-08 09:30:43.973194","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2348801645414818","338","None","0","1667361013558888_2348801645414818","seed","","","None","None","","","","",""
"1667361013558888_2348801645414818/1667361013558888_2348801645414818","1894","338","1","1667361013558888_2348801645414818","empty","","fetched (200)","2021-10-08 09:30:44.273805","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2348496745445308","339","None","0","1667361013558888_2348496745445308","seed","","","None","None","","","","",""
"1667361013558888_2348496745445308/1667361013558888_2348496745445308","1895","339","1","1667361013558888_2348496745445308","empty","","fetched (200)","2021-10-08 09:30:44.605000","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2348005615494421","340","None","0","1667361013558888_2348005615494421","seed","","","None","None","","","","",""
"1667361013558888_2348005615494421/1667361013558888_2348005615494421","1896","340","1","1667361013558888_2348005615494421","empty","","fetched (200)","2021-10-08 09:30:44.931625","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2346956982265951","341","None","0","1667361013558888_2346956982265951","seed","","","None","None","","","","",""
"1667361013558888_2346956982265951/1667361013558888_2346956982265951","1897","341","1","1667361013558888_2346956982265951","data","data.*","fetched (200)","2021-10-08 09:30:45.435251","Facebook:/<post-id>/comments","Bravu","2020-06-08T08:16:33+0000","0","0",""
"1667361013558888_2346956982265951/1667361013558888_2346956982265951","1898","341","1","1667361013558888_2346956982265951","data","data.*","fetched (200)","2021-10-08 09:30:45.435251","Facebook:/<post-id>/comments","My boy","2020-06-09T12:00:24+0000","0","0",""
"1667361013558888_2346956982265951/1667361013558888_2346956982265951","1899","341","1","1667361013558888_2346956982265951","data","data.*","fetched (200)","2021-10-08 09:30:45.435251","Facebook:/<post-id>/comments","Proset","2020-06-09T12:45:36+0000","0","0",""
"1667361013558888_2346956982265951/1667361013558888_2346956982265951","1900","341","1","1667361013558888_2346956982265951","offcut","","fetched (200)","2021-10-08 09:30:45.435251","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2346940575600925","342","None","0","1667361013558888_2346940575600925","seed","","","None","None","","","","",""
"1667361013558888_2346940575600925/1667361013558888_2346940575600925","1901","342","1","1667361013558888_2346940575600925","empty","","fetched (200)","2021-10-08 09:30:45.948871","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2346939668934349","343","None","0","1667361013558888_2346939668934349","seed","","","None","None","","","","",""
"1667361013558888_2346939668934349/1667361013558888_2346939668934349","1902","343","1","1667361013558888_2346939668934349","empty","","fetched (200)","2021-10-08 09:30:46.490752","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2346939058934410","344","None","0","1667361013558888_2346939058934410","seed","","","None","None","","","","",""
"1667361013558888_2346939058934410/1667361013558888_2346939058934410","1903","344","1","1667361013558888_2346939058934410","empty","","fetched (200)","2021-10-08 09:30:46.882714","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2346332785661704","345","None","0","1667361013558888_2346332785661704","seed","","","None","None","","","","",""
"1667361013558888_2346332785661704/1667361013558888_2346332785661704","1904","345","1","1667361013558888_2346332785661704","empty","","fetched (200)","2021-10-08 09:30:47.214338","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2344012519227064","346","None","0","1667361013558888_2344012519227064","seed","","","None","None","","","","",""
"1667361013558888_2344012519227064/1667361013558888_2344012519227064","1905","346","1","1667361013558888_2344012519227064","data","data.*","fetched (200)","2021-10-08 09:30:47.558665","Facebook:/<post-id>/comments","Paula Picina Mallia","2020-06-04T20:12:04+0000","0","0",""
"1667361013558888_2344012519227064/1667361013558888_2344012519227064","1906","346","1","1667361013558888_2344012519227064","data","data.*","fetched (200)","2021-10-08 09:30:47.558665","Facebook:/<post-id>/comments","In nanniet tieghi  Il genituri tieghi.jien. uliedi u tfal ta ibni kollha morna f din l skola","2020-06-04T20:14:53+0000","2","0",""
"1667361013558888_2344012519227064/1667361013558888_2344012519227064","1907","346","1","1667361013558888_2344012519227064","data","data.*","fetched (200)","2021-10-08 09:30:47.558665","Facebook:/<post-id>/comments","Fej aw","2020-06-04T20:15:27+0000","1","2",""
"1667361013558888_2344012519227064/1667361013558888_2344012519227064","1908","346","1","1667361013558888_2344012519227064","data","data.*","fetched (200)","2021-10-08 09:30:47.558665","Facebook:/<post-id>/comments","Paula Picina Mallia liskola primaria ta bormla","2020-06-04T20:15:52+0000","0","0",""
"1667361013558888_2344012519227064/1667361013558888_2344012519227064","1909","346","1","1667361013558888_2344012519227064","data","data.*","fetched (200)","2021-10-08 09:30:47.558665","Facebook:/<post-id>/comments","Istra","2020-06-04T20:16:07+0000","1","0",""
"1667361013558888_2344012519227064/1667361013558888_2344012519227064","1910","346","1","1667361013558888_2344012519227064","data","data.*","fetched (200)","2021-10-08 09:30:47.558665","Facebook:/<post-id>/comments","Anka  In nanniet  tieghi , il Genituri  tieghi , Jien u tifla keziah 😀kollha morna f din liskola ❤","2020-06-04T20:21:44+0000","1","0",""
"1667361013558888_2344012519227064/1667361013558888_2344012519227064","1911","346","1","1667361013558888_2344012519227064","data","data.*","fetched (200)","2021-10-08 09:30:47.558665","Facebook:/<post-id>/comments","","2020-06-05T03:47:16+0000","4","0",""
"1667361013558888_2344012519227064/1667361013558888_2344012519227064","1912","346","1","1667361013558888_2344012519227064","data","data.*","fetched (200)","2021-10-08 09:30:47.558665","Facebook:/<post-id>/comments","Istra kif kienet","2020-06-05T05:20:01+0000","0","0",""
"1667361013558888_2344012519227064/1667361013558888_2344012519227064","1913","346","1","1667361013558888_2344012519227064","offcut","","fetched (200)","2021-10-08 09:30:47.558665","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2343461725948810","347","None","0","1667361013558888_2343461725948810","seed","","","None","None","","","","",""
"1667361013558888_2343461725948810/1667361013558888_2343461725948810","1914","347","1","1667361013558888_2343461725948810","empty","","fetched (200)","2021-10-08 09:30:48.007761","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2342896729338643","348","None","0","1667361013558888_2342896729338643","seed","","","None","None","","","","",""
"1667361013558888_2342896729338643/1667361013558888_2342896729338643","1915","348","1","1667361013558888_2342896729338643","empty","","fetched (200)","2021-10-08 09:30:48.306473","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2342891859339130","349","None","0","1667361013558888_2342891859339130","seed","","","None","None","","","","",""
"1667361013558888_2342891859339130/1667361013558888_2342891859339130","1916","349","1","1667361013558888_2342891859339130","empty","","fetched (200)","2021-10-08 09:30:48.719289","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2342888446006138","350","None","0","1667361013558888_2342888446006138","seed","","","None","None","","","","",""
"1667361013558888_2342888446006138/1667361013558888_2342888446006138","1917","350","1","1667361013558888_2342888446006138","empty","","fetched (200)","2021-10-08 09:30:49.030469","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2342868506008132","351","None","0","1667361013558888_2342868506008132","seed","","","None","None","","","","",""
"1667361013558888_2342868506008132/1667361013558888_2342868506008132","1918","351","1","1667361013558888_2342868506008132","empty","","fetched (200)","2021-10-08 09:30:49.390041","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2342717749356541","352","None","0","1667361013558888_2342717749356541","seed","","","None","None","","","","",""
"1667361013558888_2342717749356541/1667361013558888_2342717749356541","1919","352","1","1667361013558888_2342717749356541","empty","","fetched (200)","2021-10-08 09:30:49.710952","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2342697486025234","353","None","0","1667361013558888_2342697486025234","seed","","","None","None","","","","",""
"1667361013558888_2342697486025234/1667361013558888_2342697486025234","1920","353","1","1667361013558888_2342697486025234","empty","","fetched (200)","2021-10-08 09:30:50.023419","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2342696162692033","354","None","0","1667361013558888_2342696162692033","seed","","","None","None","","","","",""
"1667361013558888_2342696162692033/1667361013558888_2342696162692033","1921","354","1","1667361013558888_2342696162692033","empty","","fetched (200)","2021-10-08 09:30:50.580971","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2342694176025565","355","None","0","1667361013558888_2342694176025565","seed","","","None","None","","","","",""
"1667361013558888_2342694176025565/1667361013558888_2342694176025565","1922","355","1","1667361013558888_2342694176025565","empty","","fetched (200)","2021-10-08 09:30:50.856585","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2342634636031519","356","None","0","1667361013558888_2342634636031519","seed","","","None","None","","","","",""
"1667361013558888_2342634636031519/1667361013558888_2342634636031519","1923","356","1","1667361013558888_2342634636031519","data","data.*","fetched (200)","2021-10-08 09:30:51.377818","Facebook:/<post-id>/comments","This is the video that was the inspiration for Ms Mugliett's lesson: https://www.facebook.com/watch/?v=271636080664824&external_log_id=08f97d933fbf32715757bcd1104c2392&q=cook%20wow%20garlic%20bread","2020-06-03T07:13:58+0000","0","0",""
"1667361013558888_2342634636031519/1667361013558888_2342634636031519","1924","356","1","1667361013558888_2342634636031519","data","data.*","fetched (200)","2021-10-08 09:30:51.377818","Facebook:/<post-id>/comments","❤❤❤","2020-06-03T18:34:50+0000","0","0",""
"1667361013558888_2342634636031519/1667361013558888_2342634636031519","1925","356","1","1667361013558888_2342634636031519","data","data.*","fetched (200)","2021-10-08 09:30:51.377818","Facebook:/<post-id>/comments","good job ♥️","2020-06-03T18:46:48+0000","0","0",""
"1667361013558888_2342634636031519/1667361013558888_2342634636031519","1926","356","1","1667361013558888_2342634636031519","data","data.*","fetched (200)","2021-10-08 09:30:51.377818","Facebook:/<post-id>/comments","","2020-06-03T19:59:14+0000","0","0",""
"1667361013558888_2342634636031519/1667361013558888_2342634636031519","1927","356","1","1667361013558888_2342634636031519","data","data.*","fetched (200)","2021-10-08 09:30:51.377818","Facebook:/<post-id>/comments","Prosit Elljay x","2020-06-03T20:45:02+0000","0","0",""
"1667361013558888_2342634636031519/1667361013558888_2342634636031519","1928","356","1","1667361013558888_2342634636031519","data","data.*","fetched (200)","2021-10-08 09:30:51.377818","Facebook:/<post-id>/comments","Yummy yummy in your tummy","2020-06-03T22:33:17+0000","0","0",""
"1667361013558888_2342634636031519/1667361013558888_2342634636031519","1929","356","1","1667361013558888_2342634636031519","offcut","","fetched (200)","2021-10-08 09:30:51.377818","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2342314876063495","357","None","0","1667361013558888_2342314876063495","seed","","","None","None","","","","",""
