"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"293834040785050_1149575511877561/1149575511877561_1149583695210076","270","104","1","1149575511877561_1149583695210076","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","The best Peter 👍🔝","2019-03-19T08:45:52+0000","0","0",""
"293834040785050_1149575511877561/1149575511877561_1149587895209656","271","104","1","1149575511877561_1149587895209656","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","The best.","2019-03-19T08:59:25+0000","0","0",""
"293834040785050_1149575511877561/1149575511877561_1149604921874620","272","104","1","1149575511877561_1149604921874620","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","Yum, wish I was there.","2019-03-19T09:49:27+0000","0","0",""
"293834040785050_1149575511877561/1149575511877561_1149633931871719","273","104","1","1149575511877561_1149633931871719","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","Can you make some when we come to Malta in August. Say hello to our niece Sarah and her family  pls.","2019-03-19T10:49:50+0000","0","0",""
"293834040785050_1149575511877561/1149575511877561_1149788388522940","274","104","1","1149575511877561_1149788388522940","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","Prosit Peter.. Peristyle the best","2019-03-19T16:40:54+0000","0","0",""
"293834040785050_1149575511877561/1149575511877561_1149865885181857","275","104","1","1149575511877561_1149865885181857","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","Proset bello mawx bhalek int 💪","2019-03-19T19:45:55+0000","0","0",""
"293834040785050_1149575511877561/1149575511877561_1150405585127887","276","104","1","1149575511877561_1150405585127887","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","Vera tajjbin yummyyyy","2019-03-20T16:28:35+0000","0","0",""
"293834040785050_1149575511877561/1149575511877561_1212369288931516","277","104","1","1149575511877561_1212369288931516","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","TOP IN MALTA.","2019-06-16T09:54:30+0000","0","0",""
"293834040785050_1149575511877561/293834040785050_1149575511877561","278","104","1","293834040785050_1149575511877561","offcut","","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","","","","",""
"293834040785050_1149575101877602","105","None","0","293834040785050_1149575101877602","seed","","","None","None","","","","",""
"293834040785050_1149575101877602/1149575101877602_1149595708542208","279","105","1","1149575101877602_1149595708542208","data","data.*","fetched (200)","2021-08-08 13:35:50.200517","Facebook:/<post-id>/comments","Well done  Peter.  Good luck.","2019-03-19T09:21:23+0000","0","0",""
"293834040785050_1149575101877602/1149575101877602_1149648665203579","280","105","1","1149575101877602_1149648665203579","data","data.*","fetched (200)","2021-08-08 13:35:50.200517","Facebook:/<post-id>/comments","bil crema jew irkotta taghkhom??","2019-03-19T11:26:46+0000","0","0",""
"293834040785050_1149575101877602/1149575101877602_1149683408533438","281","105","1","1149575101877602_1149683408533438","data","data.*","fetched (200)","2021-08-08 13:35:50.200517","Facebook:/<post-id>/comments","Prosit Peter Mifsud keep doing traditional zeppoli !! Save 1 for me !!","2019-03-19T12:48:44+0000","0","0",""
"293834040785050_1149575101877602/1149575101877602_1149698631865249","282","105","1","1149575101877602_1149698631865249","data","data.*","fetched (200)","2021-08-08 13:35:50.200517","Facebook:/<post-id>/comments","Prosit Peter.tassew tajbin.","2019-03-19T13:25:55+0000","0","0",""
"293834040785050_1149575101877602/1149575101877602_1149760705192375","283","105","1","1149575101877602_1149760705192375","data","data.*","fetched (200)","2021-08-08 13:35:50.200517","Facebook:/<post-id>/comments","Prosit","2019-03-19T15:39:43+0000","0","0",""
"293834040785050_1149575101877602/293834040785050_1149575101877602","284","105","1","293834040785050_1149575101877602","offcut","","fetched (200)","2021-08-08 13:35:50.200517","Facebook:/<post-id>/comments","","","","",""
"293834040785050_1062025427299237","106","None","0","293834040785050_1062025427299237","seed","","","None","None","","","","",""
"293834040785050_1062025427299237/1062025427299237_1132799893555123","285","106","1","1062025427299237_1132799893555123","data","data.*","fetched (200)","2021-08-08 13:35:50.808848","Facebook:/<post-id>/comments","Hoooo c quoi c feuilleté ??????","2019-02-20T16:06:07+0000","0","0",""
"293834040785050_1062025427299237/293834040785050_1062025427299237","286","106","1","293834040785050_1062025427299237","offcut","","fetched (200)","2021-08-08 13:35:50.808848","Facebook:/<post-id>/comments","","","","",""
"293834040785050_1058405417661238","107","None","0","293834040785050_1058405417661238","seed","","","None","None","","","","",""
"293834040785050_1058405417661238/1058405417661238_1058409480994165","287","107","1","1058405417661238_1058409480994165","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","Maureen Schofield you have to try these!! 😱😱","2018-10-28T18:59:46+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1058412644327182","288","107","1","1058405417661238_1058412644327182","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","The best","2018-10-28T19:07:24+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1058413294327117","289","107","1","1058405417661238_1058413294327117","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","Missna nippruvawom dawn next Sunday Graziella Gatt","2018-10-28T19:09:46+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1058414480993665","290","107","1","1058405417661238_1058414480993665","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","Yummy 😋","2018-10-28T19:13:56+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1058415640993549","291","107","1","1058405417661238_1058415640993549","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","Ooohhh look yummy! C","2018-10-28T19:17:51+0000","1","0",""
"293834040785050_1058405417661238/1058405417661238_1058418420993271","292","107","1","1058405417661238_1058418420993271","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","Next Sunday the restaurant will be closed Maria Borg","2018-10-28T19:26:35+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1058436547658125","293","107","1","1058405417661238_1058436547658125","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","😋😋I love them","2018-10-28T20:19:06+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1058439290991184","294","107","1","1058405417661238_1058439290991184","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","The best👌👍","2018-10-28T20:26:30+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1058488660986247","295","107","1","1058405417661238_1058488660986247","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","The best Mouth watering 👌👌👌","2018-10-28T22:54:53+0000","2","0",""
"293834040785050_1058405417661238/1058405417661238_1058497820985331","296","107","1","1058405417661238_1058497820985331","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","The very Good and very nice place to be.in Rabat.","2018-10-28T23:23:09+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1058589040976209","297","107","1","1058405417661238_1058589040976209","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","tajba","2018-10-29T03:56:22+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1058706340964479","298","107","1","1058405417661238_1058706340964479","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","true very good","2018-10-29T08:10:43+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1059563127545467","299","107","1","1058405417661238_1059563127545467","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","Just love them ,they taste  so good the best I ever taste","2018-10-30T19:15:22+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1113333355501777","300","107","1","1058405417661238_1113333355501777","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","Mallia Pierre araaaa fejn huma mmmmm 😁","2019-01-21T19:17:53+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1309527152549062","301","107","1","1058405417661238_1309527152549062","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","The best","2019-10-19T15:21:51+0000","0","0",""
"293834040785050_1058405417661238/1058405417661238_1310662155768895","302","107","1","1058405417661238_1310662155768895","data","data.*","fetched (200)","2021-08-08 13:35:51.130965","Facebook:/<post-id>/comments","Pastizzi tal_gen","2019-10-20T17:09:40+0000","0","0",""
